id,title,year,minutes,genres,average_rating,num_votes,time,length,known,genre_1,genre_2,genre_3
tt0107004,Geronimo: An American Legend,1993,115,"Drama,History,Western",6.5,10049,Middle,Normal,Known,Drama,History,Western
tt0107007,Gettysburg,1993,271,"Drama,History,War",7.6,27927,Middle,Long,Known,Drama,History,War
tt0107009,Ghost in the Machine,1993,95,"Horror,Sci-Fi,Thriller",4.6,3509,Middle,Normal,Normal,Horror,Sci-Fi,Thriller
tt0107027,Gojira vs. Mekagojira,1993,108,"Action,Adventure,Drama",6.6,4751,Middle,Normal,Normal,Action,Adventure,Drama
tt0107034,The Good Son,1993,87,"Drama,Thriller",6.4,38868,Middle,Short,Known,Drama,Thriller,Unknown
tt0107048,Groundhog Day,1993,101,"Comedy,Fantasy,Romance",8.0,591738,Middle,Normal,Known,Comedy,Fantasy,Romance
tt0107050,Grumpy Old Men,1993,103,"Comedy,Drama,Romance",7.0,44835,Middle,Normal,Known,Comedy,Drama,Romance
tt0107057,Guilty as Sin,1993,107,"Crime,Drama,Thriller",5.6,5032,Middle,Normal,Normal,Crime,Drama,Thriller
tt0107076,Hard Target,1993,97,"Action,Adventure,Drama",6.2,47931,Middle,Normal,Known,Action,Adventure,Drama
tt0107079,Sugar Hill,1993,123,"Crime,Drama,Thriller",5.9,4336,Middle,Long,Normal,Crime,Drama,Thriller
tt0107086,Hated: GG Allin & the Murder Junkies,1993,52,"Biography,Documentary,Music",7.3,2997,Middle,Short,Normal,Biography,Documentary,Music
tt0107090,Hear No Evil,1993,97,Thriller,5.0,1195,Middle,Normal,Unknown,Thriller,Unknown,Unknown
tt0107091,Heart and Souls,1993,104,"Comedy,Drama,Fantasy",7.0,16762,Middle,Normal,Known,Comedy,Drama,Fantasy
tt0107096,Heaven & Earth,1993,140,"Action,Biography,Drama",6.8,13676,Middle,Long,Known,Action,Biography,Drama
tt0107101,Hellbound,1994,95,"Action,Fantasy,Horror",4.8,3296,Middle,Normal,Normal,Action,Fantasy,Horror
tt0107103,Hercules Returns,1993,82,Comedy,7.3,1434,Middle,Short,Unknown,Comedy,Unknown,Unknown
tt0107107,Hexed,1993,90,"Comedy,Crime,Mystery",5.5,1618,Middle,Short,Unknown,Comedy,Crime,Mystery
tt0107120,Hocus Pocus,1993,96,"Comedy,Family,Fantasy",6.9,106107,Middle,Normal,Known,Comedy,Family,Fantasy
tt0107121,Hodet over vannet,1993,97,"Comedy,Thriller",6.5,1151,Middle,Normal,Unknown,Comedy,Thriller,Unknown
tt0107130,A Home of Our Own,1993,104,"Biography,Drama",7.1,3110,Middle,Normal,Normal,Biography,Drama,Unknown
tt0107131,Homeward Bound: The Incredible Journey,1993,84,"Adventure,Comedy,Drama",6.9,43521,Middle,Short,Known,Adventure,Comedy,Drama
tt0107144,Hot Shots! Part Deux,1993,86,"Action,Comedy",6.6,86613,Middle,Short,Known,Action,Comedy,Unknown
